loss totale, value loss, policy loss, victoires agent, victoires heuristique, egalites
1.811919927597046, 0.3843996226787567, 1.4275202751159668, 1, 1, 0
2.2220582962036133, 0.5161336660385132, 1.7059246301651, 0, 0, 2
1.9171866178512573, 0.5730999708175659, 1.3440866470336914, 0, 2, 0
1.8022565841674805, 0.4060465395450592, 1.3962100744247437, 0, 1, 1
2.004929542541504, 0.4811331033706665, 1.5237964391708374, 0, 0, 2
1.6452245712280273, 0.5371876955032349, 1.1080368757247925, 0, 0, 2
1.881633996963501, 0.5444091558456421, 1.3372248411178589, 0, 0, 2
1.6934949159622192, 0.5369579792022705, 1.1565369367599487, 0, 0, 2
1.6677613258361816, 0.3751319348812103, 1.292629361152649, 0, 0, 2
1.6385679244995117, 0.38443249464035034, 1.2541353702545166, 0, 1, 1
1.8967385292053223, 0.6602933406829834, 1.2364451885223389, 0, 0, 2
1.796061396598816, 0.49395719170570374, 1.3021042346954346, 0, 1, 1
1.7405664920806885, 0.49170538783073425, 1.2488610744476318, 0, 1, 1
2.00872540473938, 0.6597530245780945, 1.3489723205566406, 0, 1, 1
1.7633329629898071, 0.5099402666091919, 1.2533926963806152, 0, 1, 1
1.8258405923843384, 0.5191669464111328, 1.3066736459732056, 0, 1, 1
1.7920677661895752, 0.5179857015609741, 1.274082064628601, 0, 2, 0
1.8238887786865234, 0.530102550983429, 1.2937862873077393, 0, 1, 1
1.8343273401260376, 0.447005033493042, 1.3873223066329956, 0, 1, 1
1.8366239070892334, 0.39404478669166565, 1.4425791501998901, 0, 0, 2
1.657021403312683, 0.28744494915008545, 1.3695764541625977, 0, 1, 1
1.9438679218292236, 0.4908836781978607, 1.4529842138290405, 0, 1, 1
1.7139079570770264, 0.28132346272468567, 1.432584524154663, 0, 0, 2
1.9009425640106201, 0.47832027077674866, 1.4226223230361938, 0, 0, 2
1.6058377027511597, 0.35167694091796875, 1.254160761833191, 0, 0, 2
