loss totale, value loss, policy loss, victoires agent, victoires heuristique, egalites
1.6429781913757324, 0.20424336194992065, 1.4387348890304565, 0, 1, 1
1.7241634130477905, 0.28582826256752014, 1.4383351802825928, 0, 1, 1
1.8651117086410522, 0.2828364670276642, 1.5822752714157104, 0, 1, 1
1.8497881889343262, 0.38476675748825073, 1.4650213718414307, 0, 1, 1
2.0525834560394287, 0.46878713369369507, 1.5837962627410889, 0, 2, 0
2.05121111869812, 0.5585483908653259, 1.4926626682281494, 0, 1, 1
1.6776055097579956, 0.42380404472351074, 1.2538014650344849, 0, 2, 0
1.8242425918579102, 0.3593037724494934, 1.4649388790130615, 0, 1, 1
1.8642685413360596, 0.34683623909950256, 1.5174323320388794, 0, 1, 1
2.1193175315856934, 0.6970539093017578, 1.422263741493225, 0, 1, 1
1.8714866638183594, 0.5832650065422058, 1.2882215976715088, 1, 1, 0
1.8616411685943604, 0.49350473284721375, 1.3681364059448242, 0, 1, 1
1.686647653579712, 0.4810744524002075, 1.2055732011795044, 0, 1, 1
1.931365966796875, 0.6047772169113159, 1.326588749885559, 0, 0, 2
1.8374168872833252, 0.6260698437690735, 1.211346983909607, 0, 1, 1
